resume_text,category
"Talent Acquisition Specialist with 4 years of experience. Managed end to end recruitment cycles for multiple departments. Key skills include performance management, talent acquisition, conflict resolution, employee engagement, payroll. Familiar with tools such as sap successfactors, linkedin recruiter. Education, Master of Business Administration.",Human Resources
"Front End Developer with 8 years of experience. Created wireframes and prototypes before moving into visual design. Key skills include ux research, react, javascript, css, photoshop, ui design, bootstrap, html. Familiar with tools such as figma, adobe xd. Education, Bachelor of Engineering.",Web Designing
"Sales Executive with 2 years of experience. Generated new business leads and converted them into long term clients. Key skills include b2b sales, client relationship management, negotiation, lead generation, target achievement. Familiar with tools such as hubspot, salesforce. Education, Master of Business Administration.",Sales
"Design Engineer with 6 years of experience. Worked on the production floor to improve process efficiency and reduce waste. Key skills include root cause analysis, quality control, six sigma, project planning, thermodynamics, product design. Familiar with tools such as solidworks, autocad, ansys, ms project. Education, Bachelor of Engineering.",Mechanical Engineering
"Data Scientist with 5 years of experience. Experienced in cleaning large datasets and turning them into useful insights. Key skills include sql, feature engineering, deep learning, pandas, scikit learn. Familiar with tools such as tableau, git. Education, Bachelor of Science, graduated with distinction.",Data Science
"Backend Developer with 1 years of experience. Wrote clean and testable code while collaborating with cross functional teams. Key skills include python, javascript, rest api, microservices, object oriented programming, java, c++. Familiar with tools such as docker, jenkins. Education, Bachelor of Technology in relevant field.",Software Development
"Account Manager with 7 years of experience. Managed a portfolio of key accounts and handled contract renewals. Key skills include b2b sales, sales forecasting, crm, target achievement, lead generation. Familiar with tools such as salesforce, zoho crm, excel. Education, Master of Business Administration.",Sales
"Production Engineer with 6 years of experience. Designed mechanical components and validated them using simulation tools. Key skills include root cause analysis, manufacturing processes, cad modeling, solidworks, six sigma, project planning. Familiar with tools such as ms project, solidworks. Education, Bachelor of Engineering.",Mechanical Engineering
"Software Engineer with 3 years of experience. Wrote clean and testable code while collaborating with cross functional teams. Key skills include system design, java, c++, microservices, react. Familiar with tools such as jenkins, postman, docker, aws. Education, Bachelor of Engineering.",Software Development
"Data Analyst Intern with 7 years of experience. Experienced in cleaning large datasets and turning them into useful insights. Key skills include statistics, pytorch, deep learning, python, sql. Familiar with tools such as jupyter notebook, git, tableau. Education, Bachelor of Science, graduated with distinction.",Data Science
"HR Executive with 7 years of experience. Coordinated with department heads to plan hiring and workforce needs. Key skills include employee engagement, talent acquisition, performance management, hr policies, labor law. Familiar with tools such as sap successfactors, excel, workday, linkedin recruiter. Education, Bachelor of Engineering.",Human Resources
"Design Engineer with 8 years of experience. Prepared detailed technical drawings for manufacturing teams. Key skills include solidworks, six sigma, project planning, manufacturing processes, autocad. Familiar with tools such as autocad, solidworks, ansys, ms project. Education, Master of Business Administration.",Mechanical Engineering
"HR Executive with 8 years of experience. Managed end to end recruitment cycles for multiple departments. Key skills include employee relations, hr policies, labor law, onboarding, conflict resolution, payroll. Familiar with tools such as linkedin recruiter, sap successfactors, excel, workday. Education, Diploma in relevant discipline.",Human Resources
"Backend Developer with 8 years of experience. Built REST APIs and integrated them with front end applications. Key skills include system design, react, object oriented programming, c++, java. Familiar with tools such as jenkins, aws, postman. Education, Master of Business Administration.",Software Development
"Backend Developer with 3 years of experience. Developed and maintained scalable web applications for enterprise clients. Key skills include algorithms, data structures, python, node js, java, c++, microservices. Familiar with tools such as postman, jenkins, docker, git. Education, Bachelor of Engineering.",Software Development
"Mechanical Engineer with 6 years of experience. Worked on the production floor to improve process efficiency and reduce waste. Key skills include autocad, quality control, product design, root cause analysis, manufacturing processes. Familiar with tools such as solidworks, ms project. Education, Bachelor of Engineering.",Mechanical Engineering
"Data Analyst Intern with 6 years of experience. Experienced in cleaning large datasets and turning them into useful insights. Key skills include numpy, pytorch, data visualization, statistics, nlp, machine learning. Familiar with tools such as docker, git, jupyter notebook, power bi. Education, Diploma in relevant discipline.",Data Science
"Web Designer with 6 years of experience. Created wireframes and prototypes before moving into visual design. Key skills include wireframing, photoshop, html, javascript, figma, ux research. Familiar with tools such as figma, vs code. Education, Bachelor of Technology in relevant field.",Web Designing
"HR Generalist with 3 years of experience. Coordinated with department heads to plan hiring and workforce needs. Key skills include onboarding, hr policies, employee relations, labor law, payroll, talent acquisition. Familiar with tools such as sap successfactors, workday, linkedin recruiter, excel. Education, Bachelor of Science, graduated with distinction.",Human Resources
"Front End Developer with 4 years of experience. Worked closely with developers to turn design mockups into working pages. Key skills include responsive design, ui design, css, bootstrap, html, wireframing, figma, react. Familiar with tools such as figma, vs code. Education, Master of Business Administration.",Web Designing
"Front End Developer with 6 years of experience. Created wireframes and prototypes before moving into visual design. Key skills include css, javascript, photoshop, ux research, wireframing, figma, responsive design, ui design. Familiar with tools such as figma, vs code, git. Education, Bachelor of Technology in relevant field.",Web Designing
"HR Generalist with 6 years of experience. Handled employee onboarding, engagement activities and grievance redressal. Key skills include conflict resolution, recruitment, employee relations, hr policies, payroll, talent acquisition, performance management. Familiar with tools such as workday, excel, linkedin recruiter. Education, Diploma in relevant discipline.",Human Resources
"Backend Developer with 3 years of experience. Built REST APIs and integrated them with front end applications. Key skills include algorithms, java, python, react, system design, data structures. Familiar with tools such as jenkins, docker, git, postman. Education, Diploma in relevant discipline.",Software Development
"Sales Executive with 4 years of experience. Generated new business leads and converted them into long term clients. Key skills include sales forecasting, b2b sales, target achievement, market research, cold calling, lead generation. Familiar with tools such as excel, hubspot. Education, Bachelor of Science, graduated with distinction.",Sales
"Talent Acquisition Specialist with 7 years of experience. Managed end to end recruitment cycles for multiple departments. Key skills include hr policies, labor law, talent acquisition, recruitment, employee engagement, onboarding. Familiar with tools such as linkedin recruiter, workday, sap successfactors, excel. Education, Bachelor of Engineering.",Human Resources
"Talent Acquisition Specialist with 5 years of experience. Managed end to end recruitment cycles for multiple departments. Key skills include hr policies, talent acquisition, labor law, onboarding, performance management, employee engagement. Familiar with tools such as excel, linkedin recruiter. Education, Diploma in relevant discipline.",Human Resources
"Web Designer with 1 years of experience. Worked closely with developers to turn design mockups into working pages. Key skills include bootstrap, css, ui design, wireframing, responsive design, adobe xd, ux research. Familiar with tools such as vs code, git, adobe xd, figma. Education, Bachelor of Technology in relevant field.",Web Designing
"Full Stack Developer with 5 years of experience. Wrote clean and testable code while collaborating with cross functional teams. Key skills include java, data structures, rest api, javascript, system design, react. Familiar with tools such as docker, postman. Education, Diploma in relevant discipline.",Software Development
"Software Engineer with 6 years of experience. Wrote clean and testable code while collaborating with cross functional teams. Key skills include rest api, node js, react, algorithms, c++, object oriented programming, javascript. Familiar with tools such as git, aws. Education, Bachelor of Technology in relevant field.",Software Development
"UI UX Designer with 2 years of experience. Designed clean and responsive websites focused on good user experience. Key skills include photoshop, figma, react, css, ux research, wireframing, bootstrap. Familiar with tools such as git, figma. Education, Bachelor of Engineering.",Web Designing
"HR Generalist with 8 years of experience. Coordinated with department heads to plan hiring and workforce needs. Key skills include payroll, performance management, employee relations, hr policies, labor law, onboarding, employee engagement. Familiar with tools such as excel, workday, linkedin recruiter. Education, Diploma in relevant discipline.",Human Resources
"Mechanical Engineer with 5 years of experience. Prepared detailed technical drawings for manufacturing teams. Key skills include six sigma, solidworks, manufacturing processes, cad modeling, thermodynamics, quality control, project planning. Familiar with tools such as autocad, solidworks, ms project, ansys. Education, Diploma in relevant discipline.",Mechanical Engineering
"UI UX Designer with 5 years of experience. Worked closely with developers to turn design mockups into working pages. Key skills include html, ux research, css, wireframing, bootstrap, ui design, react. Familiar with tools such as figma, git, vs code, adobe xd. Education, Bachelor of Technology in relevant field.",Web Designing
"Mechanical Engineer with 6 years of experience. Worked on the production floor to improve process efficiency and reduce waste. Key skills include solidworks, manufacturing processes, root cause analysis, six sigma, quality control, thermodynamics. Familiar with tools such as autocad, ms project, ansys, solidworks. Education, Bachelor of Science, graduated with distinction.",Mechanical Engineering
"Talent Acquisition Specialist with 6 years of experience. Handled employee onboarding, engagement activities and grievance redressal. Key skills include conflict resolution, payroll, onboarding, employee relations, performance management. Familiar with tools such as linkedin recruiter, sap successfactors, workday, excel. Education, Bachelor of Science, graduated with distinction.",Human Resources
"Talent Acquisition Specialist with 7 years of experience. Managed end to end recruitment cycles for multiple departments. Key skills include hr policies, performance management, labor law, payroll, talent acquisition. Familiar with tools such as linkedin recruiter, workday, sap successfactors, excel. Education, Master of Business Administration.",Human Resources
"Data Analyst Intern with 3 years of experience. Worked on classification and regression problems for real world applications. Key skills include machine learning, data visualization, pytorch, deep learning, numpy, tensorflow, statistics, pandas. Familiar with tools such as power bi, jupyter notebook, docker, git. Education, Bachelor of Science, graduated with distinction.",Data Science
"UI UX Designer with 5 years of experience. Designed clean and responsive websites focused on good user experience. Key skills include html, react, javascript, wireframing, responsive design. Familiar with tools such as adobe xd, figma, vs code. Education, Master of Business Administration.",Web Designing
"Full Stack Developer with 2 years of experience. Wrote clean and testable code while collaborating with cross functional teams. Key skills include c++, system design, algorithms, node js, react, rest api, python. Familiar with tools such as postman, git, docker, aws. Education, Master of Business Administration.",Software Development
"Backend Developer with 6 years of experience. Wrote clean and testable code while collaborating with cross functional teams. Key skills include rest api, node js, javascript, system design, react. Familiar with tools such as postman, docker, jenkins, git. Education, Bachelor of Science, graduated with distinction.",Software Development
"Software Engineer with 6 years of experience. Built REST APIs and integrated them with front end applications. Key skills include data structures, rest api, c++, java, node js, python. Familiar with tools such as aws, git, docker, jenkins. Education, Diploma in relevant discipline.",Software Development
"UI UX Designer with 5 years of experience. Created wireframes and prototypes before moving into visual design. Key skills include html, wireframing, ui design, react, adobe xd. Familiar with tools such as figma, adobe xd, vs code. Education, Master of Business Administration.",Web Designing
"HR Executive with 6 years of experience. Handled employee onboarding, engagement activities and grievance redressal. Key skills include employee relations, employee engagement, hr policies, performance management, onboarding, recruitment, talent acquisition. Familiar with tools such as sap successfactors, linkedin recruiter. Education, Bachelor of Engineering.",Human Resources
"Front End Developer with 3 years of experience. Designed clean and responsive websites focused on good user experience. Key skills include responsive design, react, photoshop, wireframing, javascript, figma, html, adobe xd. Familiar with tools such as figma, git, adobe xd, vs code. Education, Bachelor of Engineering.",Web Designing
"HR Generalist with 2 years of experience. Handled employee onboarding, engagement activities and grievance redressal. Key skills include hr policies, recruitment, conflict resolution, labor law, performance management, employee engagement, onboarding, payroll. Familiar with tools such as excel, workday, sap successfactors, linkedin recruiter. Education, Bachelor of Engineering.",Human Resources
"Business Development Associate with 6 years of experience. Generated new business leads and converted them into long term clients. Key skills include cold calling, negotiation, client relationship management, b2b sales, lead generation. Familiar with tools such as zoho crm, hubspot. Education, Bachelor of Technology in relevant field.",Sales
"Sales Executive with 4 years of experience. Generated new business leads and converted them into long term clients. Key skills include cold calling, market research, sales forecasting, target achievement, crm. Familiar with tools such as salesforce, excel. Education, Master of Business Administration.",Sales
"Data Analyst Intern with 2 years of experience. Experienced in cleaning large datasets and turning them into useful insights. Key skills include scikit learn, numpy, statistics, data visualization, pandas, python, sql. Familiar with tools such as tableau, docker. Education, Bachelor of Engineering.",Data Science
"Software Engineer with 4 years of experience. Developed and maintained scalable web applications for enterprise clients. Key skills include c++, python, react, system design, microservices, rest api. Familiar with tools such as postman, aws, jenkins, git. Education, Master of Business Administration.",Software Development
"Machine Learning Engineer with 8 years of experience. Worked on classification and regression problems for real world applications. Key skills include sql, statistics, python, machine learning, tensorflow, scikit learn, data visualization. Familiar with tools such as docker, power bi, tableau, git. Education, Bachelor of Science, graduated with distinction.",Data Science
"Production Engineer with 6 years of experience. Prepared detailed technical drawings for manufacturing teams. Key skills include solidworks, product design, autocad, six sigma, root cause analysis, thermodynamics, project planning, cad modeling. Familiar with tools such as ansys, solidworks, ms project, autocad. Education, Master of Business Administration.",Mechanical Engineering
"Talent Acquisition Specialist with 5 years of experience. Managed end to end recruitment cycles for multiple departments. Key skills include hr policies, performance management, recruitment, employee relations, employee engagement, conflict resolution, onboarding. Familiar with tools such as workday, sap successfactors. Education, Diploma in relevant discipline.",Human Resources
"Data Analyst Intern with 4 years of experience. Experienced in cleaning large datasets and turning them into useful insights. Key skills include deep learning, machine learning, tensorflow, feature engineering, statistics, python, pytorch. Familiar with tools such as jupyter notebook, tableau. Education, Diploma in relevant discipline.",Data Science
"Talent Acquisition Specialist with 6 years of experience. Coordinated with department heads to plan hiring and workforce needs. Key skills include hr policies, labor law, performance management, employee relations, recruitment, talent acquisition, payroll, onboarding. Familiar with tools such as sap successfactors, linkedin recruiter, workday. Education, Bachelor of Technology in relevant field.",Human Resources
"Full Stack Developer with 5 years of experience. Wrote clean and testable code while collaborating with cross functional teams. Key skills include node js, java, data structures, object oriented programming, javascript, algorithms, microservices. Familiar with tools such as docker, git, aws. Education, Bachelor of Technology in relevant field.",Software Development
"Backend Developer with 2 years of experience. Wrote clean and testable code while collaborating with cross functional teams. Key skills include c++, node js, rest api, system design, react. Familiar with tools such as postman, git, docker, aws. Education, Master of Business Administration.",Software Development
"Account Manager with 7 years of experience. Generated new business leads and converted them into long term clients. Key skills include crm, sales forecasting, client relationship management, market research, lead generation. Familiar with tools such as zoho crm, hubspot. Education, Bachelor of Science, graduated with distinction.",Sales
"Account Manager with 8 years of experience. Managed a portfolio of key accounts and handled contract renewals. Key skills include sales forecasting, negotiation, customer retention, crm, lead generation, market research, cold calling. Familiar with tools such as salesforce, zoho crm, hubspot, excel. Education, Bachelor of Technology in relevant field.",Sales
"Production Engineer with 8 years of experience. Prepared detailed technical drawings for manufacturing teams. Key skills include quality control, six sigma, manufacturing processes, root cause analysis, product design, project planning. Familiar with tools such as ms project, solidworks, ansys, autocad. Education, Bachelor of Engineering.",Mechanical Engineering
"Software Engineer with 1 years of experience. Built REST APIs and integrated them with front end applications. Key skills include javascript, algorithms, react, microservices, java. Familiar with tools such as git, aws, docker. Education, Master of Business Administration.",Software Development
"UI UX Designer with 1 years of experience. Designed clean and responsive websites focused on good user experience. Key skills include wireframing, html, ux research, bootstrap, photoshop, adobe xd. Familiar with tools such as vs code, git, figma, adobe xd. Education, Diploma in relevant discipline.",Web Designing
"Machine Learning Engineer with 4 years of experience. Experienced in cleaning large datasets and turning them into useful insights. Key skills include nlp, feature engineering, pandas, sql, python, data visualization. Familiar with tools such as tableau, git. Education, Bachelor of Science, graduated with distinction.",Data Science
"Sales Executive with 4 years of experience. Generated new business leads and converted them into long term clients. Key skills include crm, client relationship management, cold calling, negotiation, target achievement, customer retention. Familiar with tools such as salesforce, excel, hubspot, zoho crm. Education, Bachelor of Science, graduated with distinction.",Sales
"Data Analyst Intern with 5 years of experience. Worked on classification and regression problems for real world applications. Key skills include tensorflow, feature engineering, numpy, scikit learn, pytorch, statistics, nlp, python. Familiar with tools such as power bi, git. Education, Bachelor of Science, graduated with distinction.",Data Science
"Data Scientist with 2 years of experience. Built predictive models to solve business problems using structured and unstructured data. Key skills include pytorch, pandas, nlp, python, tensorflow, scikit learn. Familiar with tools such as jupyter notebook, tableau. Education, Diploma in relevant discipline.",Data Science
"Sales Executive with 7 years of experience. Generated new business leads and converted them into long term clients. Key skills include cold calling, b2b sales, sales forecasting, target achievement, crm, lead generation, market research, negotiation. Familiar with tools such as hubspot, excel, zoho crm. Education, Bachelor of Science, graduated with distinction.",Sales
"Backend Developer with 6 years of experience. Wrote clean and testable code while collaborating with cross functional teams. Key skills include data structures, python, c++, system design, object oriented programming, microservices, java. Familiar with tools such as postman, aws, git, docker. Education, Master of Business Administration.",Software Development
"Machine Learning Engineer with 4 years of experience. Built predictive models to solve business problems using structured and unstructured data. Key skills include python, scikit learn, machine learning, pytorch, data visualization, pandas, deep learning. Familiar with tools such as power bi, tableau. Education, Bachelor of Engineering.",Data Science
"Production Engineer with 3 years of experience. Designed mechanical components and validated them using simulation tools. Key skills include product design, quality control, project planning, six sigma, cad modeling, manufacturing processes, root cause analysis, thermodynamics. Familiar with tools such as solidworks, ansys, autocad. Education, Diploma in relevant discipline.",Mechanical Engineering
"Software Engineer with 8 years of experience. Wrote clean and testable code while collaborating with cross functional teams. Key skills include algorithms, rest api, system design, data structures, microservices, c++, java, react. Familiar with tools such as jenkins, postman. Education, Bachelor of Engineering.",Software Development
"Data Analyst Intern with 7 years of experience. Built predictive models to solve business problems using structured and unstructured data. Key skills include data visualization, feature engineering, machine learning, deep learning, numpy, pandas. Familiar with tools such as power bi, jupyter notebook. Education, Master of Business Administration.",Data Science
"Design Engineer with 1 years of experience. Worked on the production floor to improve process efficiency and reduce waste. Key skills include project planning, six sigma, autocad, thermodynamics, root cause analysis, product design, quality control. Familiar with tools such as solidworks, ansys, autocad. Education, Master of Business Administration.",Mechanical Engineering
"Design Engineer with 6 years of experience. Worked on the production floor to improve process efficiency and reduce waste. Key skills include six sigma, quality control, root cause analysis, thermodynamics, solidworks, autocad. Familiar with tools such as solidworks, autocad, ms project. Education, Bachelor of Science, graduated with distinction.",Mechanical Engineering
"Production Engineer with 2 years of experience. Prepared detailed technical drawings for manufacturing teams. Key skills include manufacturing processes, quality control, autocad, six sigma, cad modeling, solidworks. Familiar with tools such as autocad, ms project. Education, Diploma in relevant discipline.",Mechanical Engineering
"Sales Executive with 5 years of experience. Managed a portfolio of key accounts and handled contract renewals. Key skills include sales forecasting, customer retention, crm, market research, lead generation. Familiar with tools such as zoho crm, excel, salesforce, hubspot. Education, Bachelor of Science, graduated with distinction.",Sales
"Mechanical Engineer with 3 years of experience. Designed mechanical components and validated them using simulation tools. Key skills include quality control, solidworks, project planning, six sigma, thermodynamics, cad modeling, root cause analysis, product design. Familiar with tools such as ms project, autocad. Education, Bachelor of Science, graduated with distinction.",Mechanical Engineering
"Design Engineer with 2 years of experience. Designed mechanical components and validated them using simulation tools. Key skills include root cause analysis, quality control, six sigma, cad modeling, product design, solidworks, manufacturing processes. Familiar with tools such as ms project, ansys, autocad. Education, Diploma in relevant discipline.",Mechanical Engineering
"HR Executive with 8 years of experience. Handled employee onboarding, engagement activities and grievance redressal. Key skills include labor law, employee relations, onboarding, recruitment, employee engagement, payroll, performance management, hr policies. Familiar with tools such as linkedin recruiter, excel, workday. Education, Bachelor of Technology in relevant field.",Human Resources
"HR Executive with 7 years of experience. Handled employee onboarding, engagement activities and grievance redressal. Key skills include conflict resolution, employee relations, employee engagement, recruitment, performance management, labor law, onboarding, hr policies. Familiar with tools such as workday, sap successfactors. Education, Bachelor of Science, graduated with distinction.",Human Resources
"Account Manager with 4 years of experience. Managed a portfolio of key accounts and handled contract renewals. Key skills include b2b sales, sales forecasting, market research, negotiation, lead generation, crm. Familiar with tools such as excel, zoho crm. Education, Bachelor of Technology in relevant field.",Sales
"Full Stack Developer with 1 years of experience. Developed and maintained scalable web applications for enterprise clients. Key skills include microservices, rest api, c++, data structures, algorithms, react, node js, java. Familiar with tools such as aws, jenkins, git, docker. Education, Diploma in relevant discipline.",Software Development
"Production Engineer with 5 years of experience. Prepared detailed technical drawings for manufacturing teams. Key skills include root cause analysis, autocad, product design, six sigma, solidworks, project planning. Familiar with tools such as ms project, ansys. Education, Bachelor of Technology in relevant field.",Mechanical Engineering
"Data Scientist with 6 years of experience. Experienced in cleaning large datasets and turning them into useful insights. Key skills include nlp, data visualization, tensorflow, pytorch, sql, deep learning. Familiar with tools such as git, power bi. Education, Bachelor of Science, graduated with distinction.",Data Science
"Backend Developer with 2 years of experience. Wrote clean and testable code while collaborating with cross functional teams. Key skills include microservices, java, object oriented programming, javascript, rest api. Familiar with tools such as docker, postman, aws. Education, Diploma in relevant discipline.",Software Development
"Production Engineer with 5 years of experience. Prepared detailed technical drawings for manufacturing teams. Key skills include solidworks, manufacturing processes, thermodynamics, product design, autocad. Familiar with tools such as autocad, ansys, solidworks, ms project. Education, Bachelor of Engineering.",Mechanical Engineering
"Production Engineer with 1 years of experience. Worked on the production floor to improve process efficiency and reduce waste. Key skills include thermodynamics, product design, root cause analysis, six sigma, solidworks. Familiar with tools such as solidworks, ansys. Education, Master of Business Administration.",Mechanical Engineering
"Front End Developer with 7 years of experience. Created wireframes and prototypes before moving into visual design. Key skills include responsive design, bootstrap, adobe xd, figma, photoshop, react, html. Familiar with tools such as figma, vs code. Education, Bachelor of Engineering.",Web Designing
"Full Stack Developer with 8 years of experience. Built REST APIs and integrated them with front end applications. Key skills include algorithms, node js, data structures, c++, rest api. Familiar with tools such as docker, aws. Education, Bachelor of Science, graduated with distinction.",Software Development
"Production Engineer with 6 years of experience. Designed mechanical components and validated them using simulation tools. Key skills include product design, project planning, root cause analysis, autocad, solidworks. Familiar with tools such as ansys, autocad, ms project, solidworks. Education, Bachelor of Technology in relevant field.",Mechanical Engineering
"Backend Developer with 7 years of experience. Wrote clean and testable code while collaborating with cross functional teams. Key skills include java, c++, python, data structures, react, javascript, object oriented programming, node js. Familiar with tools such as aws, docker. Education, Master of Business Administration.",Software Development
"Talent Acquisition Specialist with 6 years of experience. Managed end to end recruitment cycles for multiple departments. Key skills include recruitment, conflict resolution, talent acquisition, onboarding, performance management, labor law. Familiar with tools such as sap successfactors, excel. Education, Bachelor of Engineering.",Human Resources
"UI UX Designer with 3 years of experience. Worked closely with developers to turn design mockups into working pages. Key skills include bootstrap, react, wireframing, figma, ui design. Familiar with tools such as figma, adobe xd, vs code, git. Education, Diploma in relevant discipline.",Web Designing
"Full Stack Developer with 2 years of experience. Built REST APIs and integrated them with front end applications. Key skills include react, algorithms, rest api, c++, java, object oriented programming, microservices. Familiar with tools such as jenkins, docker, aws. Education, Bachelor of Engineering.",Software Development
"Talent Acquisition Specialist with 4 years of experience. Handled employee onboarding, engagement activities and grievance redressal. Key skills include recruitment, onboarding, hr policies, performance management, employee engagement. Familiar with tools such as excel, sap successfactors, workday, linkedin recruiter. Education, Bachelor of Technology in relevant field.",Human Resources
"UI UX Designer with 7 years of experience. Worked closely with developers to turn design mockups into working pages. Key skills include css, html, javascript, adobe xd, bootstrap. Familiar with tools such as adobe xd, vs code, git, figma. Education, Diploma in relevant discipline.",Web Designing
"Account Manager with 8 years of experience. Managed a portfolio of key accounts and handled contract renewals. Key skills include lead generation, crm, target achievement, negotiation, sales forecasting. Familiar with tools such as excel, zoho crm. Education, Bachelor of Technology in relevant field.",Sales
"UI UX Designer with 3 years of experience. Worked closely with developers to turn design mockups into working pages. Key skills include figma, wireframing, css, ux research, adobe xd, bootstrap, html, photoshop. Familiar with tools such as adobe xd, vs code. Education, Diploma in relevant discipline.",Web Designing
"UI UX Designer with 4 years of experience. Created wireframes and prototypes before moving into visual design. Key skills include adobe xd, figma, photoshop, wireframing, responsive design, bootstrap, ui design. Familiar with tools such as figma, git. Education, Bachelor of Science, graduated with distinction.",Web Designing
"Machine Learning Engineer with 2 years of experience. Built predictive models to solve business problems using structured and unstructured data. Key skills include sql, pandas, statistics, machine learning, deep learning. Familiar with tools such as tableau, jupyter notebook, git, power bi. Education, Bachelor of Science, graduated with distinction.",Data Science
"HR Executive with 7 years of experience. Handled employee onboarding, engagement activities and grievance redressal. Key skills include performance management, conflict resolution, onboarding, employee relations, payroll, hr policies, talent acquisition. Familiar with tools such as sap successfactors, linkedin recruiter, workday, excel. Education, Diploma in relevant discipline.",Human Resources
"UI UX Designer with 1 years of experience. Designed clean and responsive websites focused on good user experience. Key skills include css, adobe xd, ux research, responsive design, wireframing, ui design, javascript, html. Familiar with tools such as vs code, figma, adobe xd, git. Education, Diploma in relevant discipline.",Web Designing
"Talent Acquisition Specialist with 8 years of experience. Coordinated with department heads to plan hiring and workforce needs. Key skills include performance management, hr policies, payroll, onboarding, conflict resolution. Familiar with tools such as sap successfactors, linkedin recruiter, excel. Education, Bachelor of Engineering.",Human Resources
"Data Analyst Intern with 6 years of experience. Worked on classification and regression problems for real world applications. Key skills include data visualization, deep learning, feature engineering, sql, machine learning, tensorflow. Familiar with tools such as jupyter notebook, git, docker. Education, Bachelor of Technology in relevant field.",Data Science
